Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
Spain,1364,0,42,Onshore,1,2020,Naturgy,57078000,3.963333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Poland,1079,0,49,Onshore,0,2012,PGE Energia Odnawialna SA,66591000,6.743333333,,,3.560366631,5.809867859,1.511781676,54.78408,15
Spain,1464,0,40,Onshore,0,2019,Naturgy,54360000,4.886666667,,,0.699999988,-1.237797976,1.961178532,97.57882,16
France,5248,1,12,Onshore,0,2011,EKZ Renewables AG,16308000,6.763333333,,,2.111598015,4.445785046,2.437576569,88.9102,21
Spain,1027,0,50,Onshore,0,2002,Iberdrola,67950000,4.04,,,3.06576395,2.26916194,2.755456153,51.23687,21
Spain,3446,0,20,Onshore,0,2008,Iberdrola,27180000,5.38,,,4.07565403,6.641723633,0.767165775,39.6088,21
Spain,476,1,91.2,Onshore,0,2022,Enel,123940800,5.67,,,8.390576,29.4164652,6.179312226,109.4039,16
Germany,4713,0,14,Onshore,0,2003,Breeze Energy,19026000,6.533333333,,,1.034225345,1.510221601,-0.529928994,62.70924,21
Ukraine,4513,1,14,Onshore,0,2020,Private Owner - Yuliya Sergiivna Tatarchuk ; SC Greenpower Plus ; Private Owner - Maksym Efimov Viktorovych ; other ; Private Owner - Dmytro Sakach Radiyovych,19026000,6.156666667,,,2.732492094,-2.984401767,-3.752817939,60.59121,6
France,5766,0,10,Onshore,0,2018,John Laing Group PLC,13590000,6.26,,,1.85,2.38292861,1.645908729,98.1591,19
Spain,2085,1,31,Onshore,0,2004,Grupo Ibereolica Renovables,42129000,4.766666667,,,3.039197922,3.496448517,3.114531452,45.3327,21
Ireland,821,1,54,Onshore,0,2021,Enerco Energy,73386000,7.81,,,2.358143,12.28661,16.25561324,52.5642,16
Austria,1666,0,37,Onshore,0,2015,EVN,50283000,5.93,,,0.896564722,1.190000057,1.303523098,84.8943,21
Austria,1725,0,36,Onshore,0,2015,Energiepark Bruck/Leitha GMBH,48924000,6.023333333,,,0.896564722,1.190000057,1.303523098,84.8943,21
France,5061,0,12,Onshore,0,2016,Total Quadran,16308000,6.696666667,,,0.183335871,-0.11499691,0.860031082,98.02478,19
Germany,4687,1,14,Onshore,0,2006,EnBW,19026000,6.593333333,,,1.577432156,2.939437389,3.855736152,65.75402,21
Norway,143,0,288,Onshore,0,2019,TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA,391392000,5.806666667,,,2.167999983,0.128422707,1.123777874,40.55646,21
Belgium,3027,1,22,Onshore,0,2022,Aspiravi,29898000,6.565,,,9.597511,52.98778758,4.233431834,104.2816,19
Austria,6109,1,10,Onshore,0,2005,Energie Burgenland,13590000,6.153333333,,,2.299131632,5.429999828,2.320365267,68.64233,21
Portugal,3100,0,22,Onshore,0,2009,ENEOP,29898000,5.443333333,,,-0.83552748,2.059766054,-3.122078123,87.79909,17
Spain,2318,1,29,Onshore,0,2000,Enerfin Resources CO,39411000,6.086666667,,,3.433526039,4.422429562,5.200641186,57.84051,20
France,1829,0,34.5,Onshore,0,2018,Boralex,46885500,6.483333333,,,1.85,2.38292861,1.645908729,98.1591,19
Belgium,4828,0,13,Onshore,0,2018,Engie,17667000,6.576666667,,,2.05,3.044097424,1.877968572,99.85589,20
Germany,5638,0,11,Onshore,0,2005,Regenerative & Rationelle Energietechnik GmbH; Theolia SA,14949000,6,,,1.546913624,2.818756342,0.885697236,66.46009,21
Sweden,5956,0,10,Onshore,0,2010,Dala Vind AB,13590000,4.06,,,1.157981992,0,5.750735843,38.30193,21
Germany,6100,0,10,Onshore,0,2006,MVV Energie AG,13590000,6.146666667,,,1.577432156,2.939437389,3.855736152,65.75402,21
Spain,933,0,50,Onshore,0,2019,Naturgy,67950000,5.956666667,,,0.699999988,-1.237797976,1.961178532,97.57882,16
Spain,1221,1,46,Onshore,0,2003,Iberdrola,62514000,6.21,,,3.039239645,2.886516333,2.939289664,47.68695,20
Spain,2704,0,25,Onshore,0,2001,Endesa SA,33975000,5.386666667,,,3.589828014,3.382987976,3.919088791,54.05223,21
Germany,5673,1,11,Onshore,0,-,RWE AG,14949000,6.573478261,,,,,,,
France,3337,0,20,Onshore,0,2018,An Avel Braz,27180000,5.99,,,1.85,2.38292861,1.645908729,98.1591,19
Italy,2807,1,24,Onshore,0,2012,Athena Investments,32616000,5.515,,,3.041360378,7.027999878,-3.125238795,125.8705,16
Spain,1873,0,34,Onshore,0,2010,Iberdrola,46206000,4.483333333,,,1.799884915,3.527857542,0.094122317,60.26603,20
Spain,2595,1,26,Onshore,0,2004,Grupo SAMCA,35334000,6.036666667,,,3.039197922,3.496448517,3.114531452,45.3327,21
France,5351,0,12,Onshore,0,2008,AXA,16308000,6.576666667,,,2.812865257,4.735337734,0.380171426,69.73569,21
Spain,2696,0,25,Onshore,0,2004,Acciona ; Med Wind,33975000,5.713333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
Finland,2924,0,23,Onshore,0,2020,IKEA,31257000,4.78,,,0.290554556,0.1566084,-2.49103621,75.26035,20
France,5232,0,12,Onshore,0,2011,Engie,16308000,6.456666667,,,2.111598015,4.445785046,2.437576569,88.9102,21
Romania,274,1,150,Onshore,0,2012,Monsson; Continental Wind Partners,203850000,5.473333333,,,3.337636948,6.9,1.903616968,35.37141,12
United Kingdom,1275,0,44.9,Onshore,1,2016,Renewable Energy Systems (RES),61019100,7.816666667,,,1,1.675421953,1.921710078,87.82519,19
Spain,2400,1,28,Onshore,0,2007,Iberdrola,38052000,5.253333333,,,2.787031889,3.659707785,3.533500122,35.69813,21
Germany,4839,1,13,Onshore,0,2017,EWE,17667000,6.853333333,,,1.711,1.241764545,2.716024519,63.95238,21
Bulgaria,350,0,120,Onshore,1,2007,Greentech CORP,163080000,5.176666667,,,8.416269302,5.966766834,6.654387649,24.19093,14
Germany,369,0,112,Offshore hard mount,0,2020,Enbridge Inc ; EnBW,326040381.3,9.063333333,98.47,39.1,0.50668989,0.699134027,-4.095137491,67.85817,21
Czech Republic,4617,0,14,Onshore,0,2012,WSB Group,19026000,6.196666667,,,3.287616968,4.958750725,-0.770668176,43.8353,18
Spain,1674,1,37,Onshore,0,2004,Iberdrola,50283000,5.903333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
France,6178,0,10,Onshore,0,-,Engie,13590000,6.900434783,,,,,,,
Spain,2279,0,29.4,Onshore,1,2020,Naturgy,39954600,3.963333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Austria,3580,0,19,Onshore,0,2015,Windkraft Simonsfeld AG,25821000,5.93,,,0.896564722,1.190000057,1.303523098,84.8943,21
United Kingdom,5898,1,10,Onshore,0,2013,Whirlwind Renewables LLP,13590000,9.273333333,,,2.291663408,2.352421284,1.799921494,85.31606,20
Spain,1060,0,49.6,Onshore,1,2020,Scottish and Southern Energy (SSE),67406400,4.746666667,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Germany,5431,0,12,Onshore,0,2005,WestWind Energy PTY LTD,16308000,6.906666667,,,1.546913624,2.818756342,0.885697236,66.46009,21
France,3074,0,22,Onshore,0,2015,Allianz SE,29898000,6.176666667,,,0.037512854,0.410003603,1.066754735,97.07373,19
Denmark,1583,0,38,Onshore,0,2021,Community Ownership; Eurowind Energy A/S,51642000,7.88,,,1.853045,11.53909,7.38206629,35.78105,21
France,5007,0,12,Onshore,0,2018,Total Quadran,16308000,6.583333333,,,1.85,2.38292861,1.645908729,98.1591,19
Germany,4224,1,16,Onshore,0,2003,ProWind GMBH,21744000,6.703333333,,,1.034225345,1.510221601,-0.529928994,62.70924,21
Spain,2261,0,30,Onshore,0,-,ACS Group,40770000,5.890434783,,,,,,,
Russia,196,0,210,Onshore,0,2021,JSC VetroOGK,285390000,5.506666667,,,6.694456,5.109167,5.614290376,16.397,12
Italy,2348,0,28,Onshore,0,2021,AM Energie Rinnovabili,38052000,4.786666667,,,1.873783,14.08469,8.931062066,145.7347,14
Germany,3391,0,20,Onshore,0,2014,Enertrag LTD,27180000,7.45,,,0.90679872,0.845330298,2.169498929,73.82303,21
Germany,1672,1,37,Onshore,0,2010,Enercon,50283000,6.37,,,1.103802323,0.990008533,4.146767545,80.37553,21
Belgium,3636,0,18,Onshore,1,-,Elawan Energy SL,24462000,6.676521739,,,,,,,
Netherlands,555,0,80,Onshore,0,2022,TINC,108720000,7.27,,,10.00121,71.42795733,5.00723459,48.35363,21
Germany,3315,1,20,Onshore,0,2021,DunoAir,27180000,6.766666667,,,3.14297,10.7082,3.669999862,67.87883,21
Germany,5098,0,12,Onshore,0,2015,VENTUS Ventures GMBH,16308000,5.5,,,0.514420152,-0.414969653,1.652719772,70.55988,21
Poland,680,0,66,Onshore,0,2021,Akuo Energy,89694000,6.733333333,,,5.1,12.14167,6.927182661,53.62216,15
Russia,252,0,160,Onshore,0,2023,JSC VetroOGK,217440000,5.7,,,5.859,0,3.6,19.5459,2
Poland,568,0,79,Onshore,0,2015,EDP,107361000,6.496666667,,,-0.874127567,0.702593625,4.431767003,51.34457,16
Germany,5669,1,11,Onshore,0,1996,Denker & Wulf AG,14949000,7.436666667,,,1.449728251,2.455082417,1.038155811,57.57876,21
United Kingdom,1683,1,36.8,Onshore,0,2017,ScottishPower Renewables,50011200,7.343333333,,,2.683,2.041315317,2.656504893,86.72315,19
Poland,3564,1,19,Onshore,0,2020,Israel Infrastructure Fund,25821000,7.723333333,,,3.374469726,7.48961993,-2.035568824,57.19533,15
Spain,1631,0,38,Onshore,0,2005,Enerfin Resources CO,51642000,3.926666667,,,3.368458509,5.324462414,3.551225515,42.39519,21
Poland,3556,0,19,Onshore,0,2022,ORLEN Group SA,25821000,6.41,,,14.3,29.09904934,5.255456974,49.1991,15
United Kingdom,5077,0,12,Onshore,1,2015,Engie,16308000,7.423333333,,,0.40160796,1.249046922,2.222888449,87.86669,21
Italy,3322,0,20,Onshore,0,2019,Web Windenergie AG,27180000,4.75,,,0.634000003,0.484916806,0.429162534,133.8227,13
Greece,3629,0,18,Onshore,1,?,Zikos Energy Construction Single Member Private Company,24462000,,,,,,,,
Italy,5755,0,10,Onshore,0,2018,BayWa R.E. AG,13590000,5.383333333,,,1.14,2.564749718,0.826646697,134.138,13
Spain,2221,0,30,Onshore,0,2006,Iberdrola,40770000,5.55,,,3.515373945,6.521553516,4.043435207,39.01906,21
Italy,5296,0,12,Onshore,0,2009,ICQ Holding SPA,16308000,5.65,,,0.774766505,-0.124860622,-5.305154033,116.1213,17
Estonia,85,0,380,Offshore hard mount,1,2010,Neugrund OU,1010595370,7.653333333,8.07,42,2.97204113,2.943587303,2.449745916,6.66067,16
Greece,157,0,276.8,Offshore hard mount,1,?,Pleiades New Energy Ventures (PLEIADES SA),733920114.4,,5.19,41.4,,,,,
Italy,2611,0,26,Onshore,0,2009,ASJA Ambiente Italia,35334000,5.156666667,,,0.774766505,-0.124860622,-5.305154033,116.1213,17
United Kingdom,1172,0,47.5,Onshore,1,2002,ScottishPower Renewables,64552500,7.506666667,,,1.47452879,2.401125431,1.79566077,35.43455,21
Spain,3111,0,22,Onshore,0,2007,Iberdrola,29898000,4.486666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
Bulgaria,348,0,120,Onshore,1,2009,W Power LTD,163080000,4.97,,,2.747324228,6.450785637,-3.347141367,21.28618,13
France,4088,1,16,Onshore,0,2019,Neoen,21744000,5.88,,,1.299999952,1.744135022,2.027446476,97.88586,19
Greece,2621,0,25.3,Onshore,0,2019,Sagias Wind Park SA,34382700,6.036666667,,,0.51700002,-0.480481893,2.277180636,185.5363,9
United Kingdom,3319,0,20,Onshore,0,2020,Railpen,27180000,8.306666667,,,0.989486704,0.876648565,-10.29691887,105.8001,20
Poland,1598,0,38,Onshore,0,2014,IKEA,51642000,6.316666667,,,0.053822465,1.556987166,3.920508624,51.38972,15
Italy,5624,0,11,Onshore,0,2008,IVPC Group,14949000,5.543333333,,,3.347833157,6.451290131,-1.023138477,105.7877,17
Italy,3149,1,22,Onshore,0,2006,CEF; Glennmont Partners,29898000,5.386666667,,,2.09084177,5.697815418,1.799479905,106.2531,17
Spain,5334,0,12,Onshore,0,2008,URIEL Renewables INC; Acciona ; Siroco Capital SCR SA; other,16308000,5.016666667,,,4.07565403,6.641723633,0.767165775,39.6088,21
Norway,105,0,350,Onshore,1,2004,Varanger Kraft AS,475650000,8.183333333,,,0.454491556,0.240770549,4.014588017,43.82903,21
Sweden,5294,1,12,Onshore,0,2009,Umea Energi AB,16308000,6.356666667,,,-0.49445942,0,-4.255573743,40.9476,21
France,5584,0,11,Onshore,0,2018,EDP,14949000,6.096666667,,,1.85,2.38292861,1.645908729,98.1591,19
France,5349,0,12,Onshore,0,2008,EDP,16308000,5.696666667,,,2.812865257,4.735337734,0.380171426,69.73569,21
Portugal,5996,1,10,Onshore,0,2009,EDP,13590000,3.82,,,-0.83552748,2.059766054,-3.122078123,87.79909,17
Spain,898,1,50,Onshore,0,2023,Energias Renovables de Lisitea SL,67950000,6.07,,,3.532361335,-15.78456276,2.675663493,105.0343,16
Italy,3995,0,17,Onshore,0,2006,Enel,23103000,4.85,,,2.09084177,5.697815418,1.799479905,106.2531,17
France,6014,0,10,Onshore,0,2009,Eolfi,13590000,6.78,,,0.087618731,-0.113706842,-2.824551503,84.03127,21
Sweden,842,0,53,Onshore,0,2019,CEE,72027000,4.53,,,1.639000058,2.917844857,2.549647853,35.69584,21
Sweden,134,0,300,Offshore hard mount,1,2012,Vattenfall AB,776122700,6.843333333,3.62,9.1,0.888376236,0,-0.414465721,37.68633,21
Hungary,1863,0,34,Onshore,0,2011,Iberdrola,46206000,5.726666667,,,3.929922104,4.61366415,1.866837475,79.77408,11
Denmark,4004,0,17,Offshore hard mount,0,2003,Harboore Mollelaug I/S ; Harboore Tange APS ; other ; Private Owners - Thyboron Harboore Mollelaug,43818936.5,8.296666667,0.21,18.01,2.075077534,2.474958897,0.441090995,46.0814,21
United Kingdom,68,1,402,Offshore hard mount,0,2017,Equinor ASA; Masdar; China Resources (Holdings) CO LTD,1052524909,7.573333333,14.81,8.46,2.683,2.041315317,2.656504893,86.72315,19
Germany,4724,1,14,Onshore,0,2002,WPD,19026000,6.446666667,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Germany,4909,1,13,Onshore,0,1999,BVT Group,17667000,6.073333333,,,0.585434675,1.275393605,2.130116685,59.87108,21
Germany,3940,0,17,Onshore,0,2019,WPD,23103000,6.926666667,,,1.345999956,1.315006018,0.987893349,58.55613,21
Romania,1807,1,35,Onshore,1,2009,Blue Investment Partners,47565000,4.086666667,,,5.582868576,4,-5.516706158,21.7749,11
Belgium,5231,0,12,Onshore,0,2011,Aspiravi,16308000,6.466666667,,,3.532081127,8.055041313,1.931154979,103.4947,18
Germany,5799,0,10,Onshore,0,2017,EnBW,13590000,5.806666667,,,1.711,1.241764545,2.716024519,63.95238,21
France,6007,1,10,Onshore,0,2009,Enel,13590000,6.42,,,0.087618731,-0.113706842,-2.824551503,84.03127,21
Poland,5847,0,10,Onshore,0,2015,VSB,13590000,6.793333333,,,-0.874127567,0.702593625,4.431767003,51.34457,16
Portugal,3472,1,20,Onshore,0,2006,Saeta Yield SA,27180000,5.36,,,3.1076684,3.856348753,1.625034638,73.67943,18
Germany,5652,0,11,Onshore,0,2002,PNE AG,14949000,6.58,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Norway,206,0,200,Onshore,1,2019,Fitjar Kraftlag SA; Ostfold Energi; Vardar; Aquila Capital,271800000,5.216666667,,,2.167999983,0.128422707,1.123777874,40.55646,21
Poland,39,1,611,Offshore hard mount,1,2017,OW Ocean Winds,1640173797,8.01,38.59,13.25,1.975,1.801858664,5.152457733,50.79701,16
Italy,837,0,54,Onshore,0,2005,Enel,73386000,5.78,,,1.985297203,4.895356655,0.76241072,106.1756,18
Germany,2941,0,23,Onshore,0,2016,UKA Group,31257000,6.873333333,,,0.491744995,0,2.294710677,67.63065,21
Poland,5849,0,10,Onshore,0,2015,Enern,13590000,6.073333333,,,-0.874127567,0.702593625,4.431767003,51.34457,16
Spain,957,0,50,Onshore,0,2011,Endesa SA; Enel,67950000,6.146666667,,,3.196138859,7.229995728,-0.639920691,69.52841,18
Italy,1173,0,47,Onshore,0,2024,ERG,63873000,4.45,,,5.622194422,3.721905022,0.697632994,134.7937,14
Spain,2217,1,30,Onshore,0,2007,Acciona,40770000,5.606666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
Netherlands,3032,0,22,Onshore,0,2022,Vattenfall AB,29898000,7.395,,,10.00121,71.42795733,5.00723459,48.35363,21
France,6061,1,10,Onshore,0,2007,Ostwind,13590000,7.443333333,,,1.487993479,2.966151237,2.530481862,65.3614,21
Italy,4159,0,16,Onshore,0,2010,PLT Energia SRL,21744000,3.476666667,,,1.525517702,1.211658478,1.529105757,118.7371,17
Poland,1433,0,41,Onshore,0,2009,RWE AG,55719000,5.673333333,,,3.795387983,8.516854286,2.615128593,49.8209,15
Poland,1481,0,40,Onshore,0,2013,ORLEN Group SA,54360000,7.366666667,,,0.991986692,1.963978171,0.684240607,57.11583,15
France,5511,0,12,Onshore,0,2022,InnoVent Group,16308000,6.2,,,5.222367,23.73546019,2.570840474,111.9513,19
France,5025,0,12,Onshore,0,2017,Energieteam,16308000,6.396666667,,,1.163,1.601827264,2.083614851,98.48331,19
Germany,5555,1,11,Onshore,0,2022,NOTUS Energy,14949000,6.445,,,6.872574,35.04750171,1.369731055,64.78936,21
Spain,6156,1,10,Onshore,0,2007,Iberdrola,13590000,4.963333333,,,2.787031889,3.659707785,3.533500122,35.69813,21
Finland,4332,0,15,Onshore,0,2014,Vindin AB,20385000,5.586666667,,,1.041195989,1.208119631,-0.478068319,64.78293,20
France,376,0,110,Onshore,1,2019,Ventelys,149490000,5.786666667,,,1.299999952,1.744135022,2.027446476,97.88586,19
United Kingdom,1732,1,36,Onshore,1,2013,Scottish and Southern Energy (SSE),48924000,7.39,,,2.291663408,2.352421284,1.799921494,85.31606,20
Austria,2049,0,32,Onshore,0,2003,Energie Burgenland,43488000,6.153333333,,,1.355552197,1.340000033,1.141565015,65.85282,21
Italy,1492,0,40,Onshore,0,2011,Alpiq,54360000,5.12,,,2.780637741,5.178144455,0.695463129,119.1057,16
Ukraine,2674,1,25,Onshore,1,2011,Wind Parks of Ukraine LLC,33975000,6.846666667,,,7.946462631,10.316782,5.44528081,36.87567,7
France,5086,0,12,Onshore,0,2015,WPD,16308000,6.373333333,,,0.037512854,0.410003603,1.066754735,97.07373,19
Germany,3503,0,20,Onshore,0,2002,Breeze Energy,27180000,6.476666667,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Germany,3228,0,21,Onshore,0,2014,Encavis AG,28539000,5.9,,,0.90679872,0.845330298,2.169498929,73.82303,21
Bulgaria,3744,0,18,Onshore,0,2012,"GEK TERNA Holdings, Real Estate, Construction SA",24462000,5.973333333,,,2.953849792,7.370606422,0.748814897,22.79465,13
Italy,3805,1,18,Onshore,0,2007,Fortore Energia SPA,24462000,5.386666667,,,1.829737067,2.57996273,1.462292025,103.4538,17
Germany,5411,0,12,Onshore,0,2006,EOS Holdings,16308000,6.86,,,1.577432156,2.939437389,3.855736152,65.75402,21
Poland,5873,0,10,Onshore,0,2014,Windflower,13590000,6.353333333,,,0.053822465,1.556987166,3.920508624,51.38972,15
Sweden,2483,0,27,Onshore,0,2011,Vattenfall AB,36693000,7.193333333,,,2.961152792,0,3.163910481,37.38042,21
Germany,4586,1,14,Onshore,0,2015,Primus Energie GMBH,19026000,5.5,,,0.514420152,-0.414969653,1.652719772,70.55988,21
Croatia,5992,0,10,Onshore,0,2009,WPD,13590000,5.246666667,,,2.373017788,-2.8,-6.813956178,48.08895,12
Norway,255,0,160,Onshore,1,2006,Prime Capital AG,217440000,5.88,,,2.329346657,6.118505955,2.461473134,52.58703,21
France,1390,0,42,Onshore,0,2012,Eolfi,57078000,5.86,,,1.954202652,3.398922443,0.183835271,91.71756,20
Germany,2347,1,28,Onshore,0,2023,Regenerative & Rationelle Energietechnik GmbH,38052000,5.92,,,5.946436677,6.403984767,-0.26643841,62.66008,21
Portugal,429,1,100,Onshore,0,2010,EDP,135900000,4.683333333,,,1.402570248,4.43446207,1.73762451,100.2145,17
Sweden,4606,0,14,Onshore,0,2013,EWII,19026000,4.37,,,-0.044290561,5.775034904,1.137716498,40.3475,21
Denmark,3196,0,21,Onshore,0,2018,Community Owners - Vintevd Vindkraft I/S; Skovgaard Invest APS,28539000,8.016666667,,,0.81,1.175891161,1.860007489,34.14801,21
Greece,889,1,50.4,Onshore,0,2020,Ellaktor SA,68493600,2.943333333,,,-1.247951877,-3.765300547,-9.196231471,213.1524,9
United Kingdom,1915,0,33.3,Onshore,0,2004,ScottishPower Renewables,45254700,7.66,,,1.434167027,2.115386009,2.457904411,39.80162,21
Sweden,5016,0,12,Onshore,0,2017,H&M,16308000,4.846666667,,,1.867,6.730000019,1.825156015,41.10535,21
Sweden,4844,0,13,Onshore,0,2016,KumBro Vind AB,17667000,4.916666667,,,0.984268188,4.590000153,2.349740804,42.37349,21
Norway,523,0,86,Onshore,1,2017,SFE Produksjon AS,116874000,6.89,,,1.875,3.007102489,2.463746285,38.31382,21
Spain,1649,1,37.8,Onshore,1,2020,Naturgy,51370200,5.783333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Finland,259,1,157,Onshore,0,2021,Glennmont Partners,213363000,4.543333333,,,2.194574,9.620338,2.734713486,73.13908,20
Romania,640,1,70,Onshore,0,2011,Enel,95130000,3.97,,,5.787102222,9.3,4.495589099,32.3465,11
Austria,5757,1,10,Onshore,0,2018,WindLandKraft GMBH,13590000,6.156666667,,,2,2.279999971,2.484220867,74.08284,20
Spain,2308,0,29,Onshore,0,2008,Aldesa Group,39411000,4.85,,,4.07565403,6.641723633,0.767165775,39.6088,21
Italy,801,0,56,Onshore,0,2011,Enel,76104000,4.62,,,2.780637741,5.178144455,0.695463129,119.1057,16
Ireland,4440,0,15,Onshore,0,1998,Octopus,20385000,8.92,,,2.415515661,0.736073256,8.766125914,51.41388,20
Greece,4064,0,16.1,Onshore,0,2013,Ellaktor SA,21879900,5.226666667,,,-0.922166348,5.539482594,-2.272116922,178.843,3
United Kingdom,5957,0,10,Onshore,0,2010,E.ON,13590000,7.82,,,2.502840519,-0.361241519,2.233315126,75.86023,21
Greece,1653,0,37.5,Onshore,1,?,Thessalias Renewable,50962500,,,,,,,,
Poland,1138,0,48,Onshore,0,2011,TAURON Polska Energia SA,65232000,6.16,,,4.239399433,6.075186729,5.255462566,55.13372,15
Spain,1503,0,40,Onshore,0,2009,Iberdrola,54360000,6.003333333,,,-0.28799358,1.29409802,-3.768133072,53.07928,20
Greece,2497,0,26.4,Onshore,0,2017,Parthenio Wind Park SA,35877600,4.756666667,,,1.138,2.168021202,1.473124985,183.2054,5
Finland,3967,0,17,Onshore,1,2015,PT Wind OY,23103000,4.323333333,,,-0.2079283,0.821114242,0.466503518,68.7194,20
Spain,2866,0,24,Onshore,0,2002,RWE,32616000,6.27,,,3.06576395,2.26916194,2.755456153,51.23687,21
Belgium,551,0,81,Onshore,0,2011,China General Nuclear Power Group (CGN),110079000,6.51,,,3.532081127,8.055041313,1.931154979,103.4947,18
Finland,5774,0,10,Onshore,0,2017,Ilmatar,13590000,4.93,,,0.839,1.297056556,3.303370161,66.51211,20
Sweden,5735,0,10,Onshore,0,2019,E.ON,13590000,7.71,,,1.639000058,2.917844857,2.549647853,35.69584,21
Germany,3713,0,18,Onshore,0,2016,EnBW,24462000,6.833333333,,,0.491744995,0,2.294710677,67.63065,21
Ireland,3574,0,19,Onshore,0,2017,DP Energy,25821000,7.7,,,0.251,2.02969408,10.04962854,65.23382,16
Germany,4508,0,14,Onshore,0,2021,ABO Wind,19026000,6.443333333,,,3.14297,10.7082,3.669999862,67.87883,21
Germany,5095,0,12,Onshore,0,2015,Burgerwind,16308000,4.33,,,0.514420152,-0.414969653,1.652719772,70.55988,21
Finland,805,1,55.8,Onshore,0,2023,Ilmatar,75832200,5.94,,,6.250643222,-1.180894007,-1.163962815,77.02499,20
Portugal,3103,1,22,Onshore,0,2008,Finerge SA ; Guild Investments LTD,29898000,3.703333333,,,2.588508606,3.948156595,0.319247162,75.64259,18
Germany,5437,1,12,Onshore,0,2005,Pfalzwind GMBH,16308000,5.773333333,,,1.546913624,2.818756342,0.885697236,66.46009,21
Ukraine,3068,1,22,Onshore,1,2016,Eco Optima LTD,29898000,6.296666667,,,13.95196629,9.198539734,2.440981945,79.51284,3
Greece,2747,1,24,Onshore,0,2020,Volterra SA,32616000,5.7,,,-1.247951877,-3.765300547,-9.196231471,213.1524,9
France,6062,1,10,Onshore,0,2007,ERG,13590000,7.443333333,,,1.487993479,2.966151237,2.530481862,65.3614,21
Spain,3863,0,18,Onshore,0,1999,Sotavento Galicia SA,24462000,5.553333333,,,2.310335398,2.129180193,4.408865512,60.85314,20
Belgium,5825,0,10,Onshore,0,2016,EDF ; EcoPower,13590000,6.81,,,1.973854065,2.142004013,1.19350264,105.0071,20
Germany,3175,0,21,Onshore,0,2023,WPD,28539000,6.98,,,5.946436677,6.403984767,-0.26643841,62.66008,21
Lithuania,4660,0,14,Onshore,0,2008,4Energia SRL,19026000,7.446666667,,,10.92587757,19.24446487,2.599459493,14.61072,16
Spain,912,0,50,Onshore,1,2021,Iberdrola,67950000,5.086666667,,,3.093135,21.23588,6.683144185,115.5939,16
Germany,2071,0,31,Onshore,0,2017,WPD,42129000,6.72,,,1.711,1.241764545,2.716024519,63.95238,21
Germany,5674,1,11,Onshore,0,2000,European Energy A/S,14949000,7.243333333,,,1.44027102,2.786129236,2.877245948,58.7667,21
France,3667,0,18,Onshore,0,2019,JP Energie Environnement,24462000,6.26,,,1.299999952,1.744135022,2.027446476,97.88586,19
Italy,4000,0,17,Onshore,0,2005,PLT Energia SRL,23103000,5.543333333,,,1.985297203,4.895356655,0.76241072,106.1756,18
Romania,162,1,262,Onshore,0,2012,Macquarie Capital,356058000,6.1,,,3.337636948,6.9,1.903616968,35.37141,12
Germany,3272,1,21,Onshore,0,2003,Denker & Wulf AG,28539000,6.36,,,1.034225345,1.510221601,-0.529928994,62.70924,21
Ireland,3427,0,20,Onshore,0,2010,Greencoat,27180000,7.363333333,,,-0.922096431,1.288659692,1.682972351,86.13499,14
Belgium,5015,0,12,Onshore,1,2017,Engie,16308000,6.513333333,,,2.224,3.741624117,1.474467657,102.0218,20
Greece,158,0,275,Offshore hard mount,1,?,Jasper Energy Hellas,727065579.2,,2.47,214.63,,,,,
Spain,4424,0,15,Onshore,0,2002,Fomentos de Construcciones y Contratas (FCC),20385000,4.23,,,3.06576395,2.26916194,2.755456153,51.23687,21
Bulgaria,716,1,62,Onshore,1,2008,Samaras ; Copelouzos Group,84258000,2.873333333,,,12.34820461,12.00924778,6.129558799,18.78659,13
Italy,689,0,66,Onshore,0,2009,Engie,89694000,6.326666667,,,0.774766505,-0.124860622,-5.305154033,116.1213,17
Germany,1489,0,40,Offshore hard mount,1,2011,Iberdrola,109319886.7,8.26,34.49,38.72,2.075176716,3.075814486,3.757968866,77.84923,21
Denmark,3063,0,22,Onshore,0,2017,Best Energy,29898000,7.703333333,,,1.058,1.231712341,3.056477244,35.94862,21
Spain,1884,0,34,Onshore,0,2006,Acciona,46206000,5.396666667,,,3.515373945,6.521553516,4.043435207,39.01906,21
