Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Latitude,Longitude,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
France,4773,0,13.8,Onshore,0,2019,EDF,43.9844,2.8871,18754200,5.58,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
France,4774,0,13.8,Onshore,0,2014,BKW AG,49.9637,3.4239,18754200,6.576666667,N/A,N/A,0.507763743,1.757389784,0.997832938,96.3175,21
Greece,4775,1,13.6,Onshore,0,2009,ENTEKA; Acciona,38.2175,21.8694,18482400,4.546666667,N/A,N/A,1.21007669,-2.682304144,-4.119275981,126.7447,16
Greece,4776,0,13.5,Onshore,1,?,Rokas Renewables,41.1256,25.8504,18346500,,N/A,N/A,,,,,
France,4777,0,13.4,Onshore,0,2011,L&G NTR,43.2002,2.8151,18210600,7.23,N/A,N/A,2.111598015,4.445785046,2.437576569,88.9102,21
France,4778,0,13.2,Onshore,0,2024,Boralex,48.3083,-1.6665,17938800,6.8,N/A,N/A,4.878357265,5.925709159,0.936487503,110.6418,18
France,4779,0,13.2,Onshore,0,2023,BayWa R.E. AG,47.8641,-1.0947,17938800,6.41,N/A,N/A,4.878357265,5.925709159,0.936487503,110.6418,19
France,4780,1,13.2,Onshore,0,2022,Engie,48.8116,4.4226,17938800,5.93,N/A,N/A,5.222367,23.73546019,2.570840474,111.9513,19
France,4781,0,13.2,Onshore,0,2022,Neoen,44.9697,-0.0920,17938800,5.6,N/A,N/A,5.222367,23.73546019,2.570840474,111.9513,19
France,4782,0,13.2,Onshore,0,2021,VSB,47.9256,-2.6922,17938800,6.896666667,N/A,N/A,1.642331,10.45525,6.882337866,113.0879,20
France,4783,0,13.2,Onshore,0,2021,TTR Energy,48.8797,6.7020,17938800,5.64,N/A,N/A,1.642331,10.45525,6.882337866,113.0879,20
France,4784,0,13.2,Onshore,0,2020,Ostwind,49.9869,2.0023,17938800,7.016666667,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
France,4785,0,13.2,Onshore,0,2020,VKS Vindkraft Sverige AB,46.4549,-0.1358,17938800,6.59,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
Greece,4786,0,13.2,Onshore,0,2019,Intrakat,40.6090,21.1112,17938800,3.64,N/A,N/A,0.51700002,-0.480481893,2.277180636,185.5363,9
United Kingdom,4787,1,13.2,Onshore,0,2000,ScottishPower Renewables,55.3628,-4.1263,17938800,7.71,N/A,N/A,1.101932645,2.121363163,4.341634179,37.68569,21
Spain,4788,0,13.2,Onshore,0,-,Naturgy,42.6591,-1.7153,17938800,5.434545455,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
France,4789,0,13.2,Onshore,0,-,Eurowatt Services,49.4349,2.5527,17938800,6.444347826,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,4790,0,13,Onshore,1,?,Spider Energy SA,38.3847,23.1938,17667000,,N/A,N/A,,,,,
France,4791,0,13,Onshore,0,2024,Boralex,48.3822,-1.6233,17667000,6.8,N/A,N/A,4.878357265,5.925709159,0.936487503,110.6418,18
Poland,4792,0,13,Onshore,0,2023,Polenergia SA,52.5589,16.0792,17667000,6.54,N/A,N/A,11.5289128,11.65365251,0.138832755,49.59429,15
Austria,4793,0,13,Onshore,0,2023,EVN,48.1979,15.7624,17667000,4.64,N/A,N/A,7.81413417,6.195272942,-0.954962367,77.545,20
Netherlands,4794,0,13,Onshore,0,2023,ProWind GMBH; Rijn en IJssel Energy COOP,52.0022,5.8666,17667000,6.87,N/A,N/A,3.838393543,-22.05954498,0.074560722,45.02355,21
Poland,4795,0,13,Onshore,0,2022,Qair Polska,52.2069,18.7072,17667000,6.27,N/A,N/A,14.3,29.09904934,5.255456974,49.1991,15
Finland,4796,0,13,Onshore,0,2022,Eurowind Energy A/S,61.4510,22.8417,17667000,4.41,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Austria,4797,1,13,Onshore,0,2022,Web Windenergie AG,48.4294,16.6660,17667000,5.82,N/A,N/A,8.54687,39.05748385,5.277894212,78.40645,20
Germany,4798,1,13,Onshore,0,2022,NOTUS Energy,52.2032,12.2552,17667000,6.285,N/A,N/A,6.872574,35.04750171,1.369731055,64.78936,21
Germany,4799,0,13,Onshore,0,2022,PNE AG,54.1474,9.4380,17667000,7.125,N/A,N/A,6.872574,35.04750171,1.369731055,64.78936,21
Germany,4800,0,13,Onshore,0,2022,Boreas,51.1730,11.3560,17667000,5.855,N/A,N/A,6.872574,35.04750171,1.369731055,64.78936,21
Sweden,4801,0,13,Onshore,0,2021,EnBW,58.1029,14.0393,17667000,4.53,N/A,N/A,2.163197,16.98293,5.937508573,36.83366,21
Spain,4802,0,13,Onshore,0,2021,Iberdrola,42.3616,-3.9304,17667000,6.133333333,N/A,N/A,3.093135,21.23588,6.683144185,115.5939,16
Belgium,4803,1,13,Onshore,0,2021,Vleemo NV,51.2569,4.4104,17667000,7.073333333,N/A,N/A,2.440248,12.33115,6.202554016,107.9353,20
France,4804,1,13,Onshore,0,2021,Engie,48.6610,4.0573,17667000,6.183333333,N/A,N/A,1.642331,10.45525,6.882337866,113.0879,20
Germany,4805,1,13,Onshore,0,2021,WPD,53.0212,8.9459,17667000,6.846666667,N/A,N/A,3.14297,10.7082,3.669999862,67.87883,21
Germany,4806,0,13,Onshore,0,2021,Renewable Energy Systems (RES),48.2126,8.3105,17667000,4.24,N/A,N/A,3.14297,10.7082,3.669999862,67.87883,21
Germany,4807,1,13,Onshore,0,2021,EnBW,52.9877,10.4083,17667000,6.733333333,N/A,N/A,3.14297,10.7082,3.669999862,67.87883,21
Netherlands,4808,0,13,Onshore,0,2021,A.S.R. Real Estate,52.4042,4.8418,17667000,7.593333333,N/A,N/A,2.67572,17.2592,6.276830732,50.43565,21
Spain,4809,1,13,Onshore,0,2020,Naturgy,41.7733,-5.0404,17667000,5.77,N/A,N/A,-0.322671033,-3.54274493,-10.94007066,119.179,16
France,4810,1,13,Onshore,0,2020,Ostwind,46.2678,1.0735,17667000,6.463333333,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
France,4811,1,13,Onshore,0,2020,Ostwind,46.2678,1.0735,17667000,6.463333333,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
France,4812,1,13,Onshore,0,2020,Ostwind,46.2678,1.0735,17667000,6.463333333,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
Germany,4813,0,13,Onshore,0,2020,Encavis AG,52.3886,13.5048,17667000,6.556666667,N/A,N/A,0.50668989,0.699134027,-4.095137491,67.85817,21
Netherlands,4814,0,13,Onshore,0,2020,Pure Energy,51.9790,6.1307,17667000,6.823333333,N/A,N/A,1.272460378,0.527492996,-3.867953393,53.33677,21
Germany,4815,1,13,Onshore,1,2019,Naturwind,52.3324,11.1295,17667000,6.67,N/A,N/A,1.345999956,1.315006018,0.987893349,58.55613,21
Italy,4816,0,13,Onshore,0,2019,E2I Energie Speciali SRL,41.8363,14.4848,17667000,4.37,N/A,N/A,0.634000003,0.484916806,0.429162534,133.8227,13
Spain,4817,0,13,Onshore,0,2019,Naturgy,42.1007,-1.7753,17667000,5.826666667,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
France,4818,1,13,Onshore,0,2019,Eurowatt Services,49.7849,2.7869,17667000,6.813333333,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
France,4819,0,13,Onshore,0,2019,TTR Energy,48.4849,4.3873,17667000,6.243333333,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
France,4820,0,13,Onshore,0,2019,Futuren,49.7690,3.7030,17667000,6.68,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
Germany,4821,0,13,Onshore,0,2019,PROKON,49.4432,7.7690,17667000,5.83,N/A,N/A,1.345999956,1.315006018,0.987893349,58.55613,21
Denmark,4822,0,13,Onshore,0,2018,Vestforsyning A/S,56.3772,8.4708,17667000,7.946666667,N/A,N/A,0.81,1.175891161,1.860007489,34.14801,21
Ireland,4823,0,13,Onshore,0,2018,SUSI Partners AG,52.6794,-8.0863,17667000,7.466666667,N/A,N/A,0.49,5.104811668,7.544341908,61.4716,16
Sweden,4824,0,13,Onshore,0,2018,Eno Energy,58.8487,14.4033,17667000,4.65,N/A,N/A,1.95,3.724690449,1.902964588,39.4871,21
Sweden,4825,1,13,Onshore,0,2018,Svevind AB,65.4544,20.3760,17667000,4.143333333,N/A,N/A,1.95,3.724690449,1.902964588,39.4871,21
Spain,4826,0,13,Onshore,0,2018,DISA Group,28.1524,-16.4802,17667000,6.513333333,N/A,N/A,1.68,2.365603924,2.395411204,99.71828,14
Austria,4827,1,13,Onshore,0,2018,Windkraft Simonsfeld AG,48.4949,16.7973,17667000,6.156666667,N/A,N/A,2,2.279999971,2.484220867,74.08284,20
Belgium,4828,0,13,Onshore,0,2018,Engie,50.4953,5.2656,17667000,6.576666667,N/A,N/A,2.05,3.044097424,1.877968572,99.85589,20
France,4829,0,13,Onshore,0,2018,EDF,49.8399,3.6284,17667000,6.446666667,N/A,N/A,1.85,2.38292861,1.645908729,98.1591,19
France,4830,1,13,Onshore,0,2018,ERG,50.6153,2.1403,17667000,7.19,N/A,N/A,1.85,2.38292861,1.645908729,98.1591,19
Austria,4831,1,13,Onshore,0,2017,Okoenergie Beteiligungs GMBH,48.3340,16.5649,17667000,6.003333333,N/A,N/A,2.23,1.730000019,2.27225012,78.50054,20
France,4832,0,13,Onshore,0,2017,Engie,48.5514,5.4340,17667000,5.876666667,N/A,N/A,1.163,1.601827264,2.083614851,98.48331,19
Germany,4833,0,13,Onshore,0,2017,PROKON,50.0361,7.6125,17667000,5.896666667,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4834,0,13,Onshore,0,2017,ABO Wind,49.7799,6.9434,17667000,6.086666667,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4835,1,13,Onshore,0,2017,EnBW,52.6541,9.6955,17667000,6.583333333,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4836,0,13,Onshore,0,2017,EnBW,49.0228,9.9716,17667000,5.806666667,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4837,1,13,Onshore,0,2017,RWE AG,50.8632,6.2439,17667000,6.553333333,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4838,0,13,Onshore,0,2017,ABO Wind,50.7239,9.4937,17667000,5.863333333,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4839,1,13,Onshore,0,2017,EWE,53.2830,9.2588,17667000,6.853333333,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4840,0,13,Onshore,0,2017,Burgerwind,52.2228,7.4165,17667000,6.52,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,4841,0,13,Onshore,0,2017,CEE,53.3115,14.0732,17667000,6.67,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Poland,4842,0,13,Onshore,0,2016,Polwind Group SP ZOO,53.5682,19.3555,17667000,6.616666667,N/A,N/A,-0.664764404,-0.606467843,3.031177676,54.50137,14
Norway,4843,0,13,Onshore,0,2016,TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH,64.2172,10.4134,17667000,5.11,N/A,N/A,3.550003052,4.483703136,1.164724235,37.90699,21
Sweden,4844,0,13,Onshore,0,2016,KumBro Vind AB,56.9218,13.0307,17667000,4.916666667,N/A,N/A,0.984268188,4.590000153,2.349740804,42.37349,21
France,4845,0,13,Onshore,0,2016,Futuren,48.3738,4.0674,17667000,5.846666667,N/A,N/A,0.183335871,-0.11499691,0.860031082,98.02478,19
Germany,4846,0,13,Onshore,0,2016,Chorus Clean Energy AG,50.7382,8.9048,17667000,5.963333333,N/A,N/A,0.491744995,0,2.294710677,67.63065,21
Germany,4847,0,13,Onshore,0,2016,Geo MBH,53.9256,9.1146,17667000,7.223333333,N/A,N/A,0.491744995,0,2.294710677,67.63065,21
Germany,4848,1,13,Onshore,0,2016,Energieanlagen FB,51.3486,13.3772,17667000,6.42,N/A,N/A,0.491744995,0,2.294710677,67.63065,21
Finland,4849,0,13,Onshore,0,2015,Tunturivoima OY LTD; Puhuri Oy,64.3543,24.4768,17667000,5.243333333,N/A,N/A,-0.2079283,0.821114242,0.466503518,68.7194,20
Austria,4850,1,13,Onshore,0,2015,ImWind,48.2549,15.7274,17667000,5.356666667,N/A,N/A,0.896564722,1.190000057,1.303523098,84.8943,21
Germany,4851,0,13,Onshore,0,2015,ABO Wind,49.0438,10.3909,17667000,5.57,N/A,N/A,0.514420152,-0.414969653,1.652719772,70.55988,21
Germany,4852,1,13,Onshore,0,2015,WPD,52.6902,11.5907,17667000,6.41,N/A,N/A,0.514420152,-0.414969653,1.652719772,70.55988,21
Germany,4853,1,13,Onshore,0,2015,UKA Group,51.6400,13.8271,17667000,6.346666667,N/A,N/A,0.514420152,-0.414969653,1.652719772,70.55988,21
Finland,4854,0,13,Onshore,1,2014,Puhuri Oy,63.0746,26.1579,17667000,4.81,N/A,N/A,1.041195989,1.208119631,-0.478068319,64.78293,20
Germany,4855,0,13,Onshore,1,2014,EnBW,48.5189,8.1552,17667000,4.593333333,N/A,N/A,0.90679872,0.845330298,2.169498929,73.82303,21
Denmark,4856,0,13,Onshore,0,2014,Private Owners ; European Energy A/S,56.3233,8.7654,17667000,8.1,N/A,N/A,0.564021528,1.497840524,1.277999794,44.29045,21
Sweden,4857,0,13,Onshore,0,2014,Eolus Vind AB,56.9121,12.8266,17667000,4.9,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Sweden,4858,0,13,Onshore,0,2014,Allianz SE,56.9284,12.9013,17667000,4.9,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Sweden,4859,0,13,Onshore,0,2014,Elektrizitatswerk Der Stadt Zurich (EWZ),58.8435,14.4962,17667000,4.776666667,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Austria,4860,1,13,Onshore,0,2014,EVN,48.0610,16.9881,17667000,6.12,N/A,N/A,1.605804801,1.590000033,0.755799077,84.04751,20
Germany,4861,0,13,Onshore,0,2014,Pfalzwind GMBH,49.5739,7.9797,17667000,5.483333333,N/A,N/A,0.90679872,0.845330298,2.169498929,73.82303,21
Germany,4862,0,13,Onshore,0,2014,Jura Energy,49.2706,11.5519,17667000,5.686666667,N/A,N/A,0.90679872,0.845330298,2.169498929,73.82303,21
Germany,4863,0,13,Onshore,0,2014,Naturstrom,50.2294,10.1617,17667000,5.503333333,N/A,N/A,0.90679872,0.845330298,2.169498929,73.82303,21
Portugal,4864,0,13,Onshore,0,2013,EDP,41.4901,-7.6010,17667000,4.81,N/A,N/A,0.27442205,2.149289131,-0.984106758,131.4297,9
Germany,4865,0,13,Onshore,0,2013,Burgerwind,52.2173,7.4481,17667000,6.616666667,N/A,N/A,1.504725099,1.971489668,0.386224576,76.79466,21
Sweden,4866,0,13,Onshore,0,2012,Dala Vind AB,60.3401,16.2106,17667000,4.196666667,N/A,N/A,0.888376236,0,-0.414465721,37.68633,21
Italy,4867,0,13,Onshore,0,2012,Aren Electric Power SPA,41.2036,15.3834,17667000,5.383333333,N/A,N/A,3.041360378,7.027999878,-3.125238795,125.8705,16
Germany,4868,1,13,Onshore,0,2012,ABO Wind,49.7453,9.7073,17667000,5.973333333,N/A,N/A,2.008486986,2.23366785,0.474291306,79.15729,21
Ireland,4869,0,13,Onshore,0,2011,Scottish and Southern Energy (SSE),52.3834,-9.1306,17667000,7.88,N/A,N/A,2.557188034,9.744598389,1.6487739,109.4283,14
Germany,4870,0,13,Onshore,0,2011,DunoAir,50.4015,7.1610,17667000,6.423333333,N/A,N/A,2.075176716,3.075814486,3.757968866,77.84923,21
Czech Republic,4871,1,13,Onshore,1,2010,CEZ Group,49.7529,13.0041,17667000,5.546666667,N/A,N/A,1.472733974,1.649977446,2.714665115,36.70009,16
Bulgaria,4872,0,13,Onshore,0,2010,Stream Invest Holding AG,43.7419,28.1347,17667000,5.873333333,N/A,N/A,2.443273544,0.482104659,1.555359635,22.1016,13
Ireland,4873,0,13,Onshore,0,2010,Tra Investments LTD,52.3096,-9.5892,17667000,7.923333333,N/A,N/A,-0.922096431,1.288659692,1.682972351,86.13499,14
Sweden,4874,0,13,Onshore,0,2010,Arise AB,56.3833,15.7512,17667000,4.786666667,N/A,N/A,1.157981992,0,5.750735843,38.30193,21
Italy,4875,0,13,Onshore,0,2009,AGSM Group,44.2494,11.4273,17667000,4.323333333,N/A,N/A,0.774766505,-0.124860622,-5.305154033,116.1213,17
Portugal,4876,0,13,Onshore,0,2009,Finerge SA,38.8878,-9.1189,17667000,6.913333333,N/A,N/A,-0.83552748,2.059766054,-3.122078123,87.79909,17
Sweden,4877,0,13,Onshore,0,2008,Stena Renewables Energy AB,62.7462,17.8696,17667000,5.87,N/A,N/A,3.437051058,0,-0.923123083,37.73573,21
Italy,4878,0,13,Onshore,0,2008,IVPC Group,38.9281,16.4931,17667000,4.513333333,N/A,N/A,3.347833157,6.451290131,-1.023138477,105.7877,17
United Kingdom,4879,1,13,Onshore,1,2006,RWE AG,56.2765,-3.6085,17667000,7.153333333,N/A,N/A,2.518891573,4.665380001,2.380694025,42.05836,21
Portugal,4880,0,13,Onshore,0,2006,EDP,40.0051,-8.2365,17667000,4.126666667,N/A,N/A,3.1076684,3.856348753,1.625034638,73.67943,18
Portugal,4881,0,13,Onshore,0,2006,Energiekontor,41.2358,-7.9083,17667000,3.75,N/A,N/A,3.1076684,3.856348753,1.625034638,73.67943,18
Spain,4882,0,13,Onshore,0,2005,Iberdrola,41.2789,-3.0434,17667000,5.383333333,N/A,N/A,3.368458509,5.324462414,3.551225515,42.39519,21
Spain,4883,1,13,Onshore,0,2005,Acciona,43.3667,-7.4833,17667000,4.613333333,N/A,N/A,3.368458509,5.324462414,3.551225515,42.39519,21
Austria,4884,1,13,Onshore,0,2005,Wien Energie Vertrieb GMBH & CO KG,47.5290,15.7133,17667000,4.056666667,N/A,N/A,2.299131632,5.429999828,2.320365267,68.64233,21
Ireland,4885,0,13,Onshore,0,2004,Kilrush Energy LTD,52.6762,-9.4931,17667000,8.17,N/A,N/A,2.199629545,4.255885601,6.78813864,28.08728,21
Spain,4886,0,13,Onshore,0,2004,Acciona,36.1949,-5.7634,17667000,6.24,N/A,N/A,3.039197922,3.496448517,3.114531452,45.3327,21
Austria,4887,0,13,Onshore,0,2004,EVN,48.1781,15.4437,17667000,4.71,N/A,N/A,2.061211824,3.559999943,2.565255093,65.18923,21
Belgium,4888,0,13,Onshore,0,2004,Elicio,51.2552,3.2056,17667000,7.6,N/A,N/A,2.09728384,3.139665365,3.571206808,97.16967,20
Luxembourg,4889,1,13,Onshore,0,2004,Societe Luxembourgeoise des Energies Renouvelables SA (Soler),49.8965,6.0286,17667000,6.28,N/A,N/A,2.225680828,3.140830994,4.231891307,7.829894,21
Spain,4890,1,13,Onshore,0,2003,EDP,41.8341,-1.5327,17667000,5.96,N/A,N/A,3.039239645,2.886516333,2.939289664,47.68695,20
Spain,4891,0,13,Onshore,0,2003,Iberdrola,38.9746,-1.5841,17667000,5.783333333,N/A,N/A,3.039239645,2.886516333,2.939289664,47.68695,20
Spain,4892,0,13,Onshore,0,2003,Acciona,43.4701,-7.7201,17667000,4.59,N/A,N/A,3.039239645,2.886516333,2.939289664,47.68695,20
Germany,4893,1,13,Onshore,0,2003,UKA Group,53.4954,11.9939,17667000,6.743333333,N/A,N/A,1.034225345,1.510221601,-0.529928994,62.70924,21
Portugal,4894,1,13,Onshore,0,2003,Novenergia,39.7554,-7.9897,17667000,4.213333333,N/A,N/A,3.21899271,4.171982765,-0.930521086,63.89731,19
Italy,4895,0,13,Onshore,0,2002,E2I Energie Speciali SRL,41.4657,15.1262,17667000,5.8,N/A,N/A,2.465317011,0.270205379,0.26992962,105.9475,19
Spain,4896,0,13,Onshore,0,2002,Acciona,42.7203,-1.6947,17667000,5.493333333,N/A,N/A,3.06576395,2.26916194,2.755456153,51.23687,21
Spain,4897,1,13,Onshore,0,2002,Iberdrola,42.2501,-7.3833,17667000,3.976666667,N/A,N/A,3.06576395,2.26916194,2.755456153,51.23687,21
Germany,4898,1,13,Onshore,0,2002,Energiequelle GmbH,51.9979,12.8315,17667000,6.446666667,N/A,N/A,1.420809388,0.910149872,-0.228310249,59.26526,21
Germany,4899,1,13,Onshore,0,2002,Statkraft AS,51.8702,13.5529,17667000,6.48,N/A,N/A,1.420809388,0.910149872,-0.228310249,59.26526,21
Germany,4900,1,13,Onshore,0,2002,PNE AG,52.5280,12.0413,17667000,6.45,N/A,N/A,1.420809388,0.910149872,-0.228310249,59.26526,21
Spain,4901,0,13,Onshore,0,2001,RWE,41.8590,-1.7260,17667000,6.036666667,N/A,N/A,3.589828014,3.382987976,3.919088791,54.05223,21
Germany,4902,1,13,Onshore,0,2001,PNE AG,52.9127,12.2483,17667000,6.726666667,N/A,N/A,1.983850956,2.450403214,1.636541013,57.58368,21
Germany,4903,0,13,Onshore,0,2001,Erneuerbare Energien,54.1342,9.8661,17667000,7.13,N/A,N/A,1.983850956,2.450403214,1.636541013,57.58368,21
Germany,4904,1,13,Onshore,0,2001,WPD,51.6599,11.9473,17667000,6.413333333,N/A,N/A,1.983850956,2.450403214,1.636541013,57.58368,21
Portugal,4905,1,13,Onshore,0,2000,Ventient Energy,41.8301,-7.7901,17667000,4.463333333,N/A,N/A,2.853031874,3.738481283,3.816177564,54.19309,19
Germany,4906,1,13,Onshore,0,2000,PNE AG,54.0630,13.0626,17667000,6.956666667,N/A,N/A,1.44027102,2.786129236,2.877245948,58.7667,21
Spain,4907,0,13,Onshore,0,1999,Comsa Medio Ambiente SA; Fersa Group,40.8832,0.6622,17667000,6.146666667,N/A,N/A,2.310335398,2.129180193,4.408865512,60.85314,20
Germany,4908,0,13,Onshore,0,1999,MBBF Group,53.4549,13.9611,17667000,7.003333333,N/A,N/A,0.585434675,1.275393605,2.130116685,59.87108,21
Germany,4909,1,13,Onshore,0,1999,BVT Group,49.8832,8.2856,17667000,6.073333333,N/A,N/A,0.585434675,1.275393605,2.130116685,59.87108,21
Spain,4910,0,13,Onshore,0,1997,Enel,36.8773,-2.6018,17667000,4.933333333,N/A,N/A,1.971074224,3.443284035,3.587299762,64.2863,19
Spain,4911,1,13,Onshore,0,1997,Enel,41.5990,-1.1501,17667000,6.19,N/A,N/A,1.971074224,3.443284035,3.587299762,64.2863,19
Spain,4912,1,13,Onshore,0,2019,Naturgy,36.4469,-5.2858,17667000,5.446666667,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
Spain,4913,1,13,Onshore,0,2015,Audax Renovables,41.0373,0.2821,17667000,6.483333333,N/A,N/A,-0.5004583,-2.103507996,4.060866697,102.4421,15
Spain,4914,0,13,Onshore,0,-,Acciona,42.8401,-3.6010,17667000,5.683913043,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Germany,4915,0,13,Onshore,0,2000,WindStrom,52.1104,10.7021,17667000,6.703333333,N/A,N/A,1.44027102,2.786129236,2.877245948,58.7667,21
Germany,4916,0,13,Onshore,0,2007,IKEA,50.2183,7.2105,17667000,6.233333333,N/A,N/A,2.298336029,1.922888994,2.89010719,63.08144,21
France,4917,1,13,Onshore,0,2020,Ostwind,46.3013,1.0928,17667000,6.463333333,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
France,4918,1,13,Onshore,0,2020,Ostwind,46.3013,1.0928,17667000,6.463333333,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
Belgium,4919,0,13,Onshore,0,2012,Aspiravi,51.4016,4.6850,17667000,6.893333333,N/A,N/A,2.839660883,3.730719805,0.215803673,104.8105,19
Finland,4920,1,12.9,Onshore,0,2023,Ilmatar,60.9392,23.3550,17531100,4.5,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Finland,4921,1,12.9,Onshore,0,2023,Ilmatar,61.0496,23.5268,17531100,4.68,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Netherlands,4922,1,12.9,Onshore,0,2022,E-Connection,51.6405,3.6973,17531100,7.27,N/A,N/A,10.00121,71.42795733,5.00723459,48.35363,21
France,4923,1,12.9,Onshore,0,2019,Energieteam,49.7633,2.0847,17531100,7.01,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
Netherlands,4924,1,12.9,Onshore,0,2024,Pure Energy,51.5303,4.7495,17531100,6.77,N/A,N/A,3.838393543,-22.05954498,0.074560722,45.02355,21
France,4925,0,12.8,Onshore,0,2016,Engie,48.3962,4.0253,17395200,5.866666667,N/A,N/A,0.183335871,-0.11499691,0.860031082,98.02478,19
Greece,4926,0,12.6,Onshore,1,?,Rokas Renewables,41.2479,25.7036,17123400,,N/A,N/A,,,,,
Greece,4927,0,12.6,Onshore,1,?,Spithas Solar Systems LLC,39.1287,21.9086,17123400,,N/A,N/A,,,,,
Greece,4928,0,12.6,Onshore,1,?,Niata Wind SA,41.1214,22.6880,17123400,,N/A,N/A,,,,,
Greece,4929,0,12.6,Onshore,1,?,Spider Energy SA,39.3901,20.3085,17123400,,N/A,N/A,,,,,
Finland,4930,0,12.6,Onshore,0,2023,Pohjantuulen Voima Oy,65.0086,25.1961,17123400,5.46,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Italy,4931,0,12.6,Onshore,0,2023,Inergia SPA,41.1982,15.5521,17123400,5.34,N/A,N/A,5.622194422,3.721905022,0.697632994,134.7937,12
Portugal,4932,1,12.6,Onshore,0,2022,Generg,39.9416,-7.9655,17123400,4.185,N/A,N/A,7.832691,23.60534224,6.985841938,112.4149,14
Greece,4933,1,12.6,Onshore,0,2000,Rokas Renewables,38.0419,24.5788,17123400,6.55,N/A,N/A,3.151180029,6.178898335,4.137827099,104.9344,15
Greece,4934,1,12.6,Onshore,0,1999,Rokas Renewables,38.0498,24.5736,17123400,6.463333333,N/A,N/A,2.636634588,-8.100000381,2.65878589,98.90671,15
Norway,4935,0,12.6,Onshore,0,2022,Solvind Prosjekt AS,59.3360,5.4356,17123400,5.64,N/A,N/A,5.764123,27.03541505,3.005635161,36.27051,21
United Kingdom,4936,0,12.5,Onshore,0,2017,ESB Group,54.5689,-7.0494,16987500,7.38,N/A,N/A,2.683,2.041315317,2.656504893,86.72315,19
France,4937,0,12.5,Onshore,1,2016,Boralex,50.5242,2.2954,16987500,6.946666667,N/A,N/A,0.183335871,-0.11499691,0.860031082,98.02478,19
United Kingdom,4938,0,12.5,Onshore,0,2016,Blue Energy,52.4028,-0.9598,16987500,7.23,N/A,N/A,1,1.675421953,1.921710078,87.82519,19
United Kingdom,4939,0,12.5,Onshore,0,2016,Renantis UK Ltd,53.7952,-0.7998,16987500,7.45,N/A,N/A,1,1.675421953,1.921710078,87.82519,19
United Kingdom,4940,1,12.5,Onshore,1,2013,Energiekontor,53.9987,-0.2898,16987500,7.963333333,N/A,N/A,2.291663408,2.352421284,1.799921494,85.31606,20
United Kingdom,4941,0,12.5,Onshore,0,2013,Ventient Energy,57.4619,-2.4828,16987500,7.866666667,N/A,N/A,2.291663408,2.352421284,1.799921494,85.31606,20
United Kingdom,4942,0,12.5,Onshore,0,2013,Ventient Energy,56.1453,-3.2949,16987500,7.64,N/A,N/A,2.291663408,2.352421284,1.799921494,85.31606,20
